"","clc_age","mean_pred","sd_pred","median_pred","iqr_pred"
"1",20,0.0093670758062032,0.0295043676174081,0.00148124163032823,0.00540130867657669
"2",21,0.00611351065785997,0.017638580145394,0.00137752572444789,0.00400887897803437
"3",22,0.00578565697989623,0.0119748432313086,0.00184550035894369,0.00479233595029312
"4",23,0.0161182218702838,0.0587724841722466,0.00374059900818488,0.00867523070894949
"5",24,0.0114621105182073,0.0241916553949407,0.00359865366650028,0.0136120274020291
"6",25,0.0326491492019178,0.0953672103852208,0.0077263364145902,0.0159069477501323
"7",26,0.0197045212510661,0.0442792233981471,0.00720587407582312,0.0162853190336616
"8",27,0.015282060629155,0.0244127469011929,0.00714728313240052,0.01298665566008
"9",28,0.0148979491933057,0.018872916199151,0.00763120846534446,0.0124950510319486
"10",29,0.0203722832844632,0.0267185245712796,0.0117930625550488,0.0172348131433266
"11",30,0.0334857062908834,0.0590708587709414,0.0163943770733719,0.031429533612919
"12",31,0.0335832064458151,0.0403905657824975,0.0201347865707096,0.0316288065607426
"13",32,0.0461633779079207,0.0913682398143498,0.0197250613521787,0.0312456648945559
"14",33,0.054459542556493,0.0956353100116809,0.0282495384880994,0.0393558984930652
"15",34,0.0569404100960015,0.0963840139579547,0.030403060239402,0.0359874161180404
"16",35,0.0553032657435939,0.0820647064222902,0.0316478266400415,0.0410154328764049
"17",36,0.0665811841636913,0.0936827202426408,0.0445669816578152,0.0471169662680711
"18",37,0.0827117699348574,0.131904471731513,0.0472825729604625,0.0518445732830614
"19",38,0.0939821721778508,0.119384400638721,0.0545424124324234,0.0591604647293579
"20",39,0.101408445410004,0.11363280553855,0.0683099910673647,0.0667301875911751
"21",40,0.114633193070402,0.126763363319255,0.076434071077427,0.0720202945560667
"22",41,0.11343244584725,0.122781550923135,0.0787452214987949,0.0726941702315742
"23",42,0.136495617964884,0.160070836135309,0.0830210731932082,0.0925436531492972
"24",43,0.126983702711985,0.124880213615981,0.0950268380734665,0.0955127575971847
"25",44,0.157283547526529,0.169822119031289,0.099405345332282,0.098128302685871
"26",45,0.184731259178699,0.17245763617274,0.120410001955662,0.145946671148207
"27",46,0.1826232734067,0.147391065298731,0.135797807583785,0.125380791952446
"28",47,0.213515712808993,0.192515780676877,0.152235590846722,0.160601298073874
"29",48,0.183541557756518,0.149933711636087,0.145696886187714,0.114796735939889
"30",49,0.21978596590919,0.168858788115701,0.165859949217871,0.158457279853712
"31",50,0.247968960135872,0.173718950901319,0.189691595693561,0.197303113011935
"32",51,0.275777190761826,0.196541825726042,0.214136926593848,0.21732735516731
"33",52,0.254578478829115,0.184586342265349,0.182611979002448,0.20974172390787
"34",53,0.314338201804014,0.236067575251993,0.242634812479663,0.228330813795729
"35",54,0.320269551494782,0.225501247146846,0.23291883449472,0.304376521017543
"36",55,0.351949634074238,0.244542501574014,0.281646188433223,0.38543204893594
"37",56,0.344247703862084,0.21855520223432,0.269854645231509,0.261438124426734
"38",57,0.403181951123378,0.222162518922782,0.365895947587438,0.305283161927195
"39",58,0.401122620450592,0.231005847576382,0.348637041093529,0.300135348934758
"40",59,0.415593549460989,0.207982653468448,0.364736024997042,0.245520429197045
"41",60,0.433250489684148,0.23790163540644,0.372078458663163,0.377101541541452
"42",61,0.453850149267771,0.246570446752404,0.393893327513168,0.399243692125177
"43",62,0.460553728217109,0.232167498309122,0.420764060406337,0.331706884730221
"44",63,0.488105728344224,0.232551243389009,0.466884748516608,0.379720838813318
"45",64,0.518246887747164,0.227767702095101,0.484690434659524,0.385619758833993
"46",65,0.540720622126363,0.216784622125642,0.54235666202089,0.343200697160485
"47",66,0.548975253746097,0.230343131348541,0.540049741284879,0.392879166961407
"48",67,0.571383401433016,0.20651751143829,0.548878746825628,0.31251128813432
"49",68,0.573517879073126,0.193161211226757,0.578066610835748,0.273739924770494
"50",69,0.59050649740015,0.192476244656603,0.604152526271819,0.320347509847992
"51",70,0.626026962245735,0.196164665109029,0.634566500833751,0.32399525207279
"52",71,0.640498193843584,0.185876594289159,0.655500655465565,0.272742654868879
"53",72,0.628228181321004,0.17947734029351,0.62629608924443,0.267177899185504
"54",73,0.663766398550888,0.171458735054998,0.680406018930941,0.269504366647547
"55",74,0.694695027063163,0.16025310137682,0.692115151121961,0.252414251470072
"56",75,0.707076122827929,0.157054740493172,0.725505402394149,0.177774745994049
"57",76,0.679406903589022,0.160206417580953,0.690560821349748,0.278827831073252
"58",77,0.720578195370085,0.156692482786306,0.735692571761984,0.256659716092157
"59",78,0.708771861232954,0.158003532536169,0.727691407895401,0.256160684542594
"60",79,0.734816469222724,0.138269551205862,0.750742365359256,0.186810302020345
