"","clc_age","mean_pred","sd_pred","median_pred","iqr_pred"
"1",20,0.0117608782711493,0.0900537345165486,0.00126469697088918,0.00305783889524079
"2",21,0.00377014573196615,0.00842712528736055,0.00141185139582551,0.00244167649797961
"3",22,0.00587544914763976,0.00816771429655256,0.00257929014046682,0.00604728962766506
"4",23,0.00731704132746162,0.0135369157496959,0.00284343217202468,0.00542695694342289
"5",24,0.00672649308301791,0.0103793349329657,0.00283364753551935,0.00588395395560337
"6",25,0.00824850679753235,0.0181116630144917,0.00370467938290359,0.00621693125576393
"7",26,0.0113207991931442,0.0272733177708636,0.00442311680207488,0.00618666910621044
"8",27,0.0118589550099495,0.0162248262694241,0.00590879351057804,0.00940556376327351
"9",28,0.0120260073219462,0.0136933206241386,0.00817620960491604,0.0093037155535967
"10",29,0.0131619792874381,0.0151286581779024,0.00742650335169445,0.0119916594478842
"11",30,0.0204189880767095,0.0468317305126553,0.0105558621207548,0.0132639218249455
"12",31,0.0190619856988588,0.0192095678304298,0.0135986880040006,0.0140041890961578
"13",32,0.022173871125793,0.0342181978998223,0.0127316105442917,0.0143851449032943
"14",33,0.026417598537755,0.0344254219365611,0.0176156147108223,0.0177561820061846
"15",34,0.0294284571128777,0.0459490711503535,0.0184787819013302,0.0171688349872173
"16",35,0.041722233308636,0.0736761187751818,0.0225531192685102,0.0256782186308446
"17",36,0.0352280425174436,0.0371868397557235,0.0234619666529451,0.0298084078053898
"18",37,0.0435486605658841,0.049807389654428,0.0299214958124158,0.0310560411424595
"19",38,0.0613447470691199,0.083789934586278,0.0343762324720804,0.0408519638278545
"20",39,0.0579217269731485,0.0811711169141338,0.0323064811062039,0.0425723654239143
"21",40,0.069124613734469,0.076922639135591,0.0465985527730359,0.0487270831995011
"22",41,0.0799522956197112,0.0836208428543214,0.0576896698120316,0.0630168377223304
"23",42,0.0949747493135284,0.109208129534552,0.0550302839639527,0.0748645632580452
"24",43,0.0907888803517687,0.0855271400106911,0.0690626408134988,0.0785991269381018
"25",44,0.0989060079902764,0.0955185640419317,0.0706533575047048,0.0714883993825837
"26",45,0.118722635190633,0.112238037815331,0.0863365773677531,0.0799438524225702
"27",46,0.135131614121871,0.138088206223274,0.0937203554925537,0.107138238094502
"28",47,0.148792115890064,0.133096507664071,0.113896731494187,0.10087822056558
"29",48,0.15954572903325,0.138313861128693,0.114202920033227,0.132839165987427
"30",49,0.194560641079364,0.177299548986628,0.149548817521043,0.135834623084271
"31",50,0.20470718833066,0.180835313485118,0.150230792685824,0.148605035766568
"32",51,0.213483074387498,0.177981494262934,0.166186906499135,0.172703790341818
"33",52,0.212243669845011,0.182033387621857,0.154151171170155,0.151800111753413
"34",53,0.301655641992422,0.224983753877317,0.234596464604873,0.242125186897981
"35",54,0.294683356065982,0.204888731066128,0.246067462964594,0.248909378688657
"36",55,0.299418055695221,0.226257633008042,0.251954754390115,0.250641503013515
"37",56,0.31111636538269,0.220043643067985,0.257298765947084,0.247540789261618
"38",57,0.367156404767552,0.226767113648797,0.330037331765886,0.346727944820136
"39",58,0.342284831794049,0.202880829222938,0.305120221904918,0.23727285421896
"40",59,0.392055172285674,0.241663994916673,0.322335399945854,0.351210677257574
"41",60,0.399021562543928,0.234114787096603,0.337043741600258,0.334566862283017
"42",61,0.40853080542327,0.221098307542407,0.387416428989548,0.312719568913036
"43",62,0.425667970974225,0.229385595345527,0.365705833559904,0.325204026687565
"44",63,0.447529155249122,0.233976324311581,0.405092384661836,0.370021656440388
"45",64,0.474567559858867,0.229438958312496,0.442362901636918,0.347836923097774
"46",65,0.493652941955684,0.21822883501444,0.494317727218461,0.300520502496945
"47",66,0.501743413534178,0.213220387371453,0.485222191938801,0.323387566306461
"48",67,0.528985869016728,0.223365045558336,0.520012474879304,0.358801755439978
"49",68,0.566268447310946,0.223451691478478,0.55676919248656,0.368749973411369
"50",69,0.589346522838796,0.189653707975452,0.602355947519842,0.271835847291099
"51",70,0.54931679034572,0.208116311263984,0.542173725230358,0.343008358311327
"52",71,0.623598147769417,0.192782490751802,0.630612136274499,0.293656213762534
"53",72,0.627290168076213,0.188181883331306,0.622567868366403,0.316742056051443
"54",73,0.642113790365463,0.174136631669388,0.635371000443352,0.265541869021591
"55",74,0.634624327571938,0.17266035153219,0.654093650191768,0.258292238224062
"56",75,0.692180248741883,0.164619509853392,0.70479081113333,0.247044735620696
"57",76,0.67157352392117,0.174294397858991,0.694044514990913,0.269771859034032
"58",77,0.726371090675444,0.155049027731609,0.740189896381111,0.200657238771312
"59",78,0.74615716985803,0.146872864769447,0.762178669279581,0.195861416159004
"60",79,0.736338222589207,0.142024539234735,0.763262319537265,0.229054379147945
