variable,rcsVariables,knots
clc_age,clc_age_rcs_1; clc_age_rcs_2; clc_age_rcs_3,24;40;57;74
hwmdbmi,hwmdbmi_rcs_1; hwmdbmi_rcs_2,22.35;27.24;34.178
minperweek,minperweek_rcs_1; minperweek_rcs_2,9;103;326
